Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,348.299988,350.899994,345.649994,347.209991,340.017090,889000
2018-10-08,346.890015,350.489990,346.269989,349.929993,342.680756,825100
2018-10-09,348.619995,349.459991,346.160004,347.309998,340.115051,986100
2018-10-10,346.850006,347.250000,336.750000,336.750000,329.773834,1792500
2018-10-11,334.730011,338.000000,325.010010,326.260010,319.501129,1937900
2018-10-12,330.589996,331.470001,322.600006,327.619995,320.832947,1294000
2018-10-15,327.929993,333.980011,327.929993,331.239990,324.377960,1003600
2018-10-16,332.470001,337.399994,331.140015,337.130005,330.145935,860300
2018-10-17,335.720001,337.190002,333.320007,333.399994,326.493225,1181700
2018-10-18,331.350006,333.320007,325.040009,328.000000,321.205078,1323000
2018-10-19,327.200012,330.040009,326.059998,328.140015,321.342224,1101200
2018-10-22,331.619995,331.619995,324.470001,326.779999,320.010345,1407700
2018-10-23,325.230011,334.769989,315.589996,321.350006,314.692841,2995700
2018-10-24,328.109985,328.109985,310.420013,311.130005,304.684570,2396800
2018-10-25,313.209991,316.549988,305.450012,306.410004,300.062347,2352500
2018-10-26,303.399994,308.970001,301.660004,305.049988,298.730499,1909600
2018-10-29,309.500000,309.500000,283.209991,286.670013,280.731293,3262900
2018-10-30,285.609985,292.500000,283.720001,291.070007,285.040161,2870000
2018-10-31,294.359985,299.100006,293.529999,293.850006,287.762543,1980100
2018-11-01,295.730011,301.440002,295.010010,299.420013,293.217163,1526900
2018-11-02,301.040009,302.750000,297.750000,299.279999,293.080048,1597200
2018-11-05,302.000000,304.299988,300.589996,303.209991,296.928650,1650500
2018-11-06,304.049988,308.760010,304.049988,306.559998,300.209229,1123200
2018-11-07,308.059998,309.959991,304.160004,309.820007,303.401703,983000
2018-11-08,310.000000,311.019989,306.359985,308.559998,302.167816,879000
2018-11-09,307.190002,314.160004,307.140015,313.119995,306.633362,1294300
2018-11-12,313.200012,314.230011,304.600006,305.119995,298.799072,1117800
2018-11-13,304.809998,308.859985,302.230011,305.739990,299.406219,1121000
2018-11-14,308.269989,309.679993,303.010010,303.390015,297.104919,1192800
2018-11-15,302.170013,308.000000,299.739990,305.480011,299.151642,1233100
2018-11-16,303.839996,305.250000,299.869995,301.239990,294.999420,1319500
2018-11-19,301.089996,301.089996,293.220001,294.589996,288.487213,1558900
2018-11-20,291.359985,295.250000,288.559998,293.859985,287.772339,1281100
2018-11-21,295.000000,297.850006,294.230011,294.290009,288.193420,1355600
2018-11-23,293.059998,297.940002,291.929993,295.380005,289.260864,434300
2018-11-26,297.040009,298.850006,292.920013,295.279999,289.162933,1375900
2018-11-27,293.899994,295.660004,289.600006,295.290009,289.172699,1477400
2018-11-28,297.850006,300.529999,293.940002,299.940002,293.726379,1282700
2018-11-29,301.000000,304.980011,300.279999,302.420013,296.155029,2788500
2018-11-30,300.750000,303.529999,297.880005,300.429993,296.362152,3666200
2018-12-03,304.940002,305.329987,295.899994,296.790009,292.771423,1764700
2018-12-04,295.720001,295.720001,286.029999,286.730011,282.847656,2208100
2018-12-06,282.899994,286.890015,277.200012,286.350006,282.472809,2793700
2018-12-07,285.399994,290.350006,285.209991,285.399994,281.535645,1407200
2018-12-10,289.929993,298.929993,289.190002,298.399994,294.359619,2417900
2018-12-11,302.679993,303.250000,290.329987,292.149994,288.194275,1764500
2018-12-12,295.989990,296.799988,292.010010,292.500000,288.539520,1121500
2018-12-13,293.269989,295.269989,291.000000,292.230011,288.273193,1125300
2018-12-14,290.000000,291.239990,286.619995,287.700012,283.804535,1881600
2018-12-17,286.200012,286.790009,277.839996,279.230011,275.449219,1649100
2018-12-18,281.549988,283.839996,278.049988,279.470001,275.685974,1707900
2018-12-19,279.750000,283.809998,271.519989,273.959991,270.250549,1716900
2018-12-20,271.989990,273.820007,261.410004,265.290009,261.697968,2327700
2018-12-21,260.779999,262.640015,255.300003,256.549988,253.076279,3738600
2018-12-24,253.029999,254.630005,245.009995,245.220001,241.899704,1515400
2018-12-26,246.309998,251.889999,241.179993,251.619995,248.213043,1797600
2018-12-27,249.250000,259.790009,248.199997,259.790009,256.272430,2201400
2018-12-28,263.010010,264.829987,260.140015,261.260010,257.722534,1983800
2018-12-31,262.149994,265.109985,259.850006,261.839996,258.294678,1184900
2019-01-02,258.359985,265.299988,256.790009,264.730011,261.145538,1064700
2019-01-03,262.320007,264.000000,257.380005,258.079987,254.585556,1165600
2019-01-04,261.920013,265.489990,260.339996,265.040009,261.451355,1443800
2019-01-07,266.000000,270.000000,263.859985,268.079987,264.450165,1465200
2019-01-08,271.130005,271.750000,267.809998,269.869995,266.215942,1791400
2019-01-09,270.130005,272.220001,269.130005,270.540009,266.876892,1235900
2019-01-10,269.619995,277.679993,269.500000,277.500000,273.742615,1842500
2019-01-11,275.790009,277.760010,272.429993,277.730011,273.969513,1157800
2019-01-14,276.670013,279.519989,274.429993,277.510010,273.752502,1388600
2019-01-15,278.230011,278.329987,273.510010,276.000000,272.262939,1193500
2019-01-16,275.399994,275.690002,270.630005,272.390015,268.701843,1324900
2019-01-17,271.170013,279.989990,270.839996,278.799988,275.025024,1242000
2019-01-18,281.179993,285.369995,279.720001,282.869995,279.039917,2073500
2019-01-22,281.390015,284.619995,278.000000,279.589996,275.804352,1885100
2019-01-23,282.109985,285.730011,280.500000,283.510010,279.671265,1631000
2019-01-24,284.589996,288.239990,282.589996,285.250000,281.387695,1017500
2019-01-25,288.170013,289.299988,286.130005,287.040009,283.153442,1050400
2019-01-28,285.000000,288.410004,282.890015,287.869995,283.972198,1166400
2019-01-29,281.109985,292.859985,281.000000,292.049988,288.095612,2037300
2019-01-30,293.950012,293.989990,286.769989,291.670013,287.720764,1781800
2019-01-31,290.170013,292.829987,287.790009,289.690002,285.767578,1311100
2019-02-01,290.850006,292.579987,289.200012,290.579987,286.645508,1358900
2019-02-04,290.899994,299.059998,290.109985,298.769989,294.724609,1328900
2019-02-05,300.000000,302.980011,297.230011,299.459991,295.405273,1454800
2019-02-06,299.989990,302.679993,299.010010,299.829987,295.770264,1114300
2019-02-07,298.790009,300.359985,296.140015,300.130005,296.066193,1150100
2019-02-08,299.220001,301.630005,297.000000,301.500000,297.417664,1021600
2019-02-11,301.779999,302.750000,298.799988,300.040009,295.977448,1077900
2019-02-12,301.470001,304.320007,300.859985,304.109985,299.992310,840600
2019-02-13,305.000000,305.950012,303.679993,304.420013,300.298126,958500
2019-02-14,303.359985,304.000000,300.910004,301.000000,296.924438,888200
2019-02-15,304.010010,307.329987,304.010010,307.230011,303.070068,847700
2019-02-19,305.970001,306.589996,303.760010,305.179993,301.047821,929500
2019-02-20,305.000000,307.200012,304.290009,307.200012,303.040497,870600
2019-02-21,307.059998,307.170013,303.279999,304.510010,300.386932,1045000
2019-02-22,305.910004,307.359985,303.899994,307.130005,302.971436,581800
2019-02-25,308.890015,309.399994,305.549988,305.970001,301.827148,1088000
2019-02-26,305.600006,308.079987,305.010010,305.880005,301.738373,871600
2019-02-27,305.019989,307.940002,304.109985,307.579987,303.415314,1121300
2019-02-28,307.440002,311.750000,306.119995,309.410004,307.419434,1839100
2019-03-01,311.559998,311.559998,306.440002,309.470001,307.479034,1424900
2019-03-04,311.779999,311.779999,303.480011,304.690002,302.729797,1070900
2019-03-05,306.010010,307.220001,304.220001,305.760010,303.792908,907600
2019-03-06,306.480011,308.350006,303.320007,303.320007,301.368591,879200
2019-03-07,302.899994,303.200012,297.420013,303.010010,301.060608,1255500
2019-03-08,300.570007,301.690002,298.769989,300.950012,299.013855,1054100
2019-03-11,299.619995,304.579987,298.630005,304.399994,302.441650,1294400
2019-03-12,304.600006,305.309998,300.790009,301.920013,299.977600,1248800
2019-03-13,303.059998,304.559998,301.119995,303.450012,301.497772,1133400
2019-03-14,303.420013,304.459991,298.320007,298.510010,296.589539,1178400
2019-03-15,298.859985,299.230011,293.769989,296.149994,294.244720,4516500
2019-03-18,295.869995,298.359985,293.269989,297.640015,295.725159,1793600
2019-03-19,299.480011,302.140015,295.440002,296.600006,294.691833,1504000
2019-03-20,296.910004,298.709991,295.059998,295.980011,294.075836,1321800
2019-03-21,295.369995,300.070007,295.000000,299.010010,297.086334,1145700
2019-03-22,297.649994,298.399994,293.880005,294.010010,292.118500,942800
2019-03-25,294.410004,295.820007,292.529999,294.119995,292.227783,779700
2019-03-26,296.089996,297.600006,292.690002,294.920013,293.022644,882300
2019-03-27,295.619995,297.890015,292.850006,293.950012,292.058899,835600
2019-03-28,295.029999,295.940002,293.649994,295.600006,293.698273,567100
2019-03-29,297.500000,300.589996,296.739990,300.160004,298.228943,1212000
2019-04-01,302.559998,306.109985,301.839996,304.290009,302.332367,1153900
2019-04-02,304.869995,306.779999,302.869995,303.100006,301.150024,872600
2019-04-03,303.609985,304.399994,296.140015,297.269989,295.357513,1178300
2019-04-04,298.160004,302.049988,297.890015,299.670013,297.742096,789500
2019-04-05,299.910004,302.660004,299.709991,302.579987,300.633331,705200
2019-04-08,301.989990,305.859985,300.670013,305.660004,303.693542,1121400
2019-04-09,304.359985,304.579987,301.190002,302.679993,300.732697,867100
2019-04-10,302.230011,302.350006,297.329987,299.119995,297.195618,1226200
2019-04-11,300.230011,305.829987,300.000000,305.589996,303.623993,829500
2019-04-12,307.000000,309.779999,306.029999,309.700012,307.707550,891800
2019-04-15,309.959991,310.000000,307.540009,308.709991,306.723907,864800
2019-04-16,309.220001,310.630005,308.100006,310.059998,308.065216,833900
2019-04-17,311.220001,312.429993,309.779999,310.500000,308.502411,1041400
2019-04-18,311.029999,314.570007,309.470001,314.260010,312.238220,1107100
2019-04-22,314.250000,316.260010,313.269989,315.260010,313.231781,1319000
2019-04-23,326.519989,337.320007,324.519989,333.100006,330.957001,3425800
2019-04-24,333.899994,335.779999,327.839996,330.119995,327.996185,2089900
2019-04-25,330.250000,334.230011,328.459991,328.869995,326.754211,1506500
2019-04-26,329.600006,330.750000,327.079987,328.329987,326.217682,873200
2019-04-29,328.399994,331.149994,327.209991,328.589996,326.476013,969100
2019-04-30,329.519989,333.859985,328.459991,333.329987,331.185516,990000
2019-05-01,334.250000,337.209991,331.579987,331.850006,329.715057,1104300
2019-05-02,332.010010,332.700012,328.239990,332.549988,330.410522,962300
2019-05-03,333.579987,335.640015,331.200012,334.070007,331.920776,806700
2019-05-06,330.500000,336.529999,330.170013,335.720001,333.560150,812800
2019-05-07,334.739990,334.739990,328.839996,330.899994,328.771149,1176400
2019-05-08,330.899994,336.880005,330.350006,334.179993,332.030060,1083800
2019-05-09,334.000000,340.329987,331.940002,339.359985,337.176727,1496500
2019-05-10,337.410004,341.619995,335.269989,341.350006,339.153931,1204900
2019-05-13,335.250000,339.750000,333.200012,335.369995,333.212402,1504000
2019-05-14,336.010010,340.920013,334.750000,336.170013,334.007263,1171600
2019-05-15,335.290009,335.709991,329.929993,334.149994,332.000244,1127000
2019-05-16,335.920013,339.649994,334.850006,339.390015,337.206543,1092100
2019-05-17,336.459991,340.950012,336.459991,337.989990,335.815521,1268400
2019-05-20,337.239990,344.290009,337.239990,342.010010,339.809692,1388200
2019-05-21,343.600006,344.799988,339.500000,343.950012,341.737213,1097800
