Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,236.350006,236.850006,233.389999,233.779999,230.098099,2951900
2018-08-10,230.970001,231.460007,228.110001,229.610001,225.993759,3863400
2018-08-13,229.490005,229.889999,226.570007,226.860001,223.287064,2662700
2018-08-14,227.350006,230.369995,227.300003,229.559998,225.944550,2359000
2018-08-15,229.350006,231.539993,228.309998,229.250000,225.639435,3218500
2018-08-16,230.669998,233.289993,230.449997,233.000000,229.330368,2438300
2018-08-17,232.509995,233.720001,231.639999,233.380005,229.704391,2107200
2018-08-20,234.130005,235.979996,234.080002,235.779999,232.066589,2604900
2018-08-21,235.289993,239.529999,235.289993,238.649994,234.891373,2437300
2018-08-22,237.889999,239.669998,237.580002,239.339996,235.570496,1870900
2018-08-23,239.050003,239.279999,235.839996,236.339996,232.617752,2064700
2018-08-24,237.360001,237.800003,234.699997,235.110001,231.407135,1948100
2018-08-27,236.990005,243.649994,236.559998,242.600006,238.779175,4106900
2018-08-28,243.059998,245.080002,241.589996,242.369995,238.552780,2951000
2018-08-29,242.050003,242.789993,240.309998,241.399994,238.384888,1911700
2018-08-30,240.800003,241.119995,238.679993,239.399994,236.409882,1963700
2018-08-31,238.940002,239.350006,237.119995,237.809998,234.839752,1965500
2018-09-04,237.759995,238.119995,234.589996,237.660004,234.691635,2083500
2018-09-05,237.009995,239.449997,236.169998,237.559998,234.592865,2092000
2018-09-06,237.000000,238.630005,233.880005,234.520004,231.590851,2651400
2018-09-07,235.050003,235.639999,232.679993,233.910004,230.988464,1952900
2018-09-10,235.009995,235.500000,231.740005,231.910004,229.013458,1948100
2018-09-11,230.669998,231.649994,228.660004,230.210007,227.334686,2719400
2018-09-12,230.910004,231.990005,227.300003,228.149994,225.300385,3577700
2018-09-13,229.500000,229.850006,227.570007,228.330002,225.478149,3003600
2018-09-14,229.080002,230.550003,228.759995,229.240005,226.376801,2228300
2018-09-17,229.399994,230.160004,227.300003,227.889999,225.043640,1918800
2018-09-18,228.350006,229.399994,226.570007,228.889999,226.031158,2498100
2018-09-19,229.899994,236.279999,229.520004,235.580002,232.637619,3716500
2018-09-20,237.000000,238.509995,236.029999,237.399994,234.434860,2503000
2018-09-21,238.059998,238.520004,234.830002,235.339996,232.400589,3760300
2018-09-24,234.740005,235.740005,232.240005,232.899994,229.991074,2057000
2018-09-25,234.639999,234.639999,232.229996,232.500000,229.596069,2003200
2018-09-26,232.960007,233.000000,228.240005,228.880005,226.021301,2372700
2018-09-27,228.770004,229.850006,227.520004,227.740005,224.895538,2451500
2018-09-28,225.750000,227.399994,223.800003,224.240005,221.439240,3097800
2018-10-01,226.220001,227.589996,225.000000,225.330002,222.515625,2451300
2018-10-02,225.279999,226.330002,223.970001,226.070007,223.246384,2272700
2018-10-03,227.750000,229.770004,226.580002,227.779999,224.935013,2573900
